시간,예측값,실제값,MAPE 오차
0:00,651344.0,650878.0,0.07159559856071337
1:00,601580.6666666666,607926.0,1.0437673883553873
2:00,565247.6666666666,572943.0,1.343123719695218
3:00,545677.0,552492.0,1.2335020235587122
4:00,531311.3333333334,542737.0,2.1051939828437396
5:00,528031.3333333334,540518.0,2.3101296657403876
6:00,535471.3333333334,551318.0,2.874324195231541
7:00,561187.3333333334,587583.0,4.492244783573832
8:00,594092.0,624415.0,4.856225426999671
9:00,628619.3333333334,670346.0,6.2246461777450195
10:00,663707.0,698084.0,4.924479002526916
11:00,684542.6666666666,695887.0,1.6301976230815307
12:00,666534.6666666666,642596.0,3.7253058946315614
13:00,662586.3333333334,624599.0,6.081875464631447
14:00,674625.6666666666,632121.0,6.724134567063366
15:00,683678.3333333334,633145.0,7.981320761173724
16:00,695489.0,648762.0,7.20248719869536
17:00,709222.0,657618.0,7.847108807848933
18:00,727657.3333333334,700339.0,3.9007299798145425
19:00,744666.0,721380.0,3.227979705564335
20:00,757093.0,735643.0,2.9158165033854737
21:00,749175.6666666666,734377.0,2.015132100633139
22:00,716313.0,707356.0,1.2662647945306182
23:00,683855.6666666666,679780.0,0.5995567193307582
