시간,예측값,실제값,MAPE 오차
0:00,658182.3333333334,645821.0,1.9140494553960572
1:00,631353.3333333334,613822.0,2.8560940033647166
2:00,604890.6666666666,584794.0,3.4365377665753454
3:00,585719.0,566421.0,3.407006449266535
4:00,579690.0,556343.0,4.196511864083847
5:00,584016.0,557886.0,4.683752594616104
6:00,594310.3333333334,561960.0,5.756696799297703
7:00,582937.6666666666,557318.0,4.59695661483509
8:00,558471.6666666666,588867.0,5.161663556173698
9:00,558877.0,604989.0,7.621956762850234
10:00,569584.0,619216.0,8.015296762357561
11:00,596085.0,619712.0,3.812577455334091
12:00,592028.0,597520.0,0.9191324139777748
13:00,564430.3333333334,594095.0,4.993253043144048
14:00,580047.6666666666,625974.0,7.336779695855318
15:00,570122.6666666666,636661.0,10.45114014103791
16:00,582885.3333333334,664447.0,12.275120012080215
17:00,612801.0,682535.0,10.216911953233168
18:00,650278.3333333334,708802.0,8.256701683497877
19:00,678093.0,721369.0,5.999148840607234
20:00,712247.0,740017.0,3.752616493945409
21:00,723847.6666666666,730567.0,0.9197422458629219
22:00,707925.0,702278.0,0.804097522633487
23:00,682809.6666666666,674488.0,1.2337753476216966
하루 평균,14761632.666666668,15155902.0,2.60142440438934
