¿œΩ√,Power Demand,Predicted,MAPE
2023-07-10 04:00:00,595982.0,818172.9770114942,37.28149122146209
2023-07-10 05:00:00,596434.0,818172.9770114942,37.17745417120658
2023-07-10 06:00:00,602603.0,818172.9770114942,35.77313372344549
2023-07-24 05:00:00,607099.0,818172.9770114942,34.76763707591253
2023-07-24 04:00:00,612385.0,818172.9770114942,33.604346450597944
2023-07-24 06:00:00,615939.0,818172.9770114942,32.833442436912456
2023-07-13 05:00:00,628854.0,818172.9770114942,30.10539441770176
2023-07-24 03:00:00,632528.0,818172.9770114942,29.349685233142914
2023-07-13 04:00:00,637006.0,818172.9770114942,28.440387847444796
2023-07-13 06:00:00,638959.0,818172.9770114942,28.04780541654382
2023-07-17 03:00:00,639029.0,818172.9770114942,28.03377890698141
2023-07-24 07:00:00,657851.0,818172.9770114942,24.370560660619837
2023-07-24 02:00:00,664645.0,818172.9770114942,23.0992450122237
2023-07-23 05:00:00,611861.0,752567.0512820513,22.99640789036256
2023-07-17 07:00:00,670590.0,818172.9770114942,22.007929884354706
2023-07-23 06:00:00,617264.0,752567.0512820513,21.91980275571737
2023-07-23 04:00:00,619432.0,752567.0512820513,21.493085807974282
2023-07-17 02:00:00,674378.0,818172.9770114942,21.322607945617182
2023-07-27 07:00:00,674697.0,818172.9770114942,21.265246030661796
2023-07-09 07:00:00,622446.0,752567.0512820513,20.904793553505243
2023-07-13 07:00:00,676781.0,818172.9770114942,20.891836060925797
2023-07-16 06:00:00,632359.0,752567.0512820513,19.009463181839944
2023-07-16 05:00:00,632552.0,752567.0512820513,18.973151817091917
2023-07-27 02:00:00,688929.0,818172.9770114942,18.76013014570358
2023-07-23 03:00:00,638406.0,752567.0512820513,17.882202122481814
2023-07-16 19:00:00,913965.0,752567.0512820513,17.659095120485876
2023-07-16 04:00:00,642287.0,752567.0512820513,17.1699024395716
2023-07-16 18:00:00,901602.0,752567.0512820513,16.530015319170626
2023-07-24 01:00:00,703302.0,818172.9770114942,16.33309403520738
2023-07-12 21:00:00,975912.0,818172.9770114942,16.16324248380036
2023-07-28 20:00:00,964506.0,818172.9770114942,15.171810542236727
2023-07-22 21:00:00,886061.0,752567.0512820513,15.065999825965564
2023-07-28 16:00:00,962272.0,818172.9770114942,14.974874358653873
2023-07-30 03:00:00,655735.0,752567.0512820513,14.766948734176344
2023-07-18 17:00:00,957731.0,818172.9770114942,14.571734964045833
2023-07-10 19:00:00,955813.0,818172.9770114942,14.40030874119789
2023-07-18 18:00:00,953627.0,818172.9770114942,14.204088494611183
2023-07-18 19:00:00,952635.0,818172.9770114942,14.114747304949512
2023-07-10 20:00:00,952468.0,818172.9770114942,14.099688702245722
2023-07-28 21:00:00,951021.0,818172.9770114942,13.968989432252894
2023-07-28 19:00:00,950608.0,818172.9770114942,13.931612503629864
2023-07-18 20:00:00,950592.0,818172.9770114942,13.930163833538026
2023-07-26 01:00:00,719359.0,818172.9770114942,13.736392678967558
2023-07-24 08:00:00,719485.0,818172.9770114942,13.716474563263198
2023-07-28 18:00:00,947750.0,818172.9770114942,13.672067843683013
2023-07-17 14:00:00,945528.0,818172.9770114942,13.469196363143743
2023-07-17 01:00:00,721576.0,818172.9770114942,13.386944273575372
2023-07-10 18:00:00,944377.0,818172.9770114942,13.363733232438504
2023-07-16 03:00:00,665064.0,752567.0512820513,13.15708733024961
2023-07-28 17:00:00,938937.0,818172.9770114942,12.861781247144993
2023-07-23 22:00:00,863014.0,752567.0512820513,12.79781657284224
2023-07-23 02:00:00,667743.0,752567.0512820513,12.703098539715318
2023-07-18 21:00:00,935336.0,818172.9770114942,12.526303166830505
2023-07-10 21:00:00,931976.0,818172.9770114942,12.21093922896145
2023-07-08 19:00:00,857118.0,752567.0512820513,12.197964424729005
2023-07-12 22:00:00,925808.0,818172.9770114942,11.626063178164996
2023-07-22 22:00:00,848370.0,752567.0512820513,11.292590345951501
2023-07-18 08:00:00,736139.0,818172.9770114942,11.14381618301628
2023-07-04 20:00:00,919763.0,818172.9770114942,11.04523915274976
2023-07-24 20:00:00,917123.0,818172.9770114942,10.789176913947832
2023-07-08 13:00:00,843411.0,752567.0512820513,10.771017774009202
2023-07-08 15:00:00,842602.0,752567.0512820513,10.685347141111551
2023-07-27 01:00:00,739711.0,818172.9770114942,10.607112373818184
2023-07-08 18:00:00,840359.0,752567.0512820513,10.446957635718633
2023-07-28 22:00:00,908216.0,818172.9770114942,9.914274026058315
2023-07-16 23:00:00,834965.0,752567.0512820513,9.868431457360337
2023-07-24 19:00:00,907536.0,818172.9770114942,9.846774451757923
2023-07-24 16:00:00,904689.0,818172.9770114942,9.563067859618696
2023-07-21 21:00:00,904159.0,818172.9770114942,9.510055530996848
2023-07-08 16:00:00,831261.0,752567.0512820513,9.466815923993638
2023-07-24 18:00:00,902944.0,818172.9770114942,9.388292406672592
2023-07-20 15:00:00,901812.0,818172.9770114942,9.274552011783586
2023-07-18 11:00:00,901266.0,818172.9770114942,9.219589220996442
2023-07-24 17:00:00,899298.0,818172.9770114942,9.020927766825434
2023-07-17 08:00:00,750671.0,818172.9770114942,8.992218563324576
2023-07-30 02:00:00,693192.0,752567.0512820513,8.56545535465661
2023-07-24 11:00:00,894119.0,818172.9770114942,8.493950244710803
2023-07-07 13:00:00,893365.0,818172.9770114942,8.41671914486305
2023-07-24 00:00:00,757349.0,818172.9770114942,8.03116885497891
2023-07-20 14:00:00,886702.0,818172.9770114942,7.7285292001716215
2023-07-16 02:00:00,698994.0,752567.0512820513,7.664307745424318
