¿œΩ√,Power Demand,Predicted,Actual - Predicted,MAPE
2023-12-08 14:00:00,616442.0,686094.675,-69652.67500000005,11.299144931721077
2023-12-05 14:00:00,619872.0,686094.675,-66222.67500000005,10.683282193743231
2023-12-28 11:00:00,765579.0,686094.675,79484.32499999995,10.382249904973877
2023-12-27 11:00:00,764929.0,686094.675,78834.32499999995,10.306097036456972
2023-12-07 14:00:00,626904.0,686094.675,-59190.67500000005,9.441744669040244
2023-12-05 12:00:00,628626.0,686094.675,-57468.67500000005,9.141950062517306
2023-12-08 12:00:00,630848.0,686094.675,-55246.67500000005,8.75752558460993
2023-12-05 15:00:00,636845.0,686094.675,-49249.67500000005,7.733384889572823
2023-12-08 15:00:00,637678.0,686094.675,-48416.67500000005,7.59265256132406
2023-12-29 15:00:00,741813.0,686094.675,55718.32499999995,7.511101180486181
2023-12-07 15:00:00,641766.0,686094.675,-44328.67500000005,6.907295649816296
2023-12-13 14:00:00,642057.0,686094.675,-44037.67500000005,6.858841971974458
2023-12-27 15:00:00,733211.0,686094.675,47116.32499999995,6.426025386962274
2023-12-29 12:00:00,733176.0,686094.675,47081.32499999995,6.421558397983561
2023-12-28 12:00:00,732506.0,686094.675,46411.32499999995,6.3359651661556295
2023-12-28 15:00:00,728285.0,686094.675,42190.32499999995,5.793106407519028
2023-12-29 14:00:00,727082.0,686094.675,40987.32499999995,5.637235552523643
2023-12-27 14:00:00,726248.0,686094.675,40153.32499999995,5.528872368667446
2023-12-28 14:00:00,725908.0,686094.675,39813.32499999995,5.484624084594736
2023-12-10 13:00:00,549539.0,579649.8888888889,-30110.888888888876,5.479299720108832
2023-12-27 12:00:00,722201.0,686094.675,36106.32499999995,4.999484215613099
2023-12-09 12:00:00,609542.0,579649.8888888889,29892.111111111124,4.9040281245773265
2023-12-09 15:00:00,609407.0,579649.8888888889,29757.111111111124,4.882961815520846
2023-12-04 10:00:00,720355.0,686094.675,34260.32499999995,4.756033483490772
2023-12-13 15:00:00,655648.0,686094.675,-30446.675000000047,4.643753202938169
2023-12-05 11:00:00,657442.0,686094.675,-28652.675000000047,4.358205742864016
2023-12-07 11:00:00,658923.0,686094.675,-27171.675000000047,4.123649500776274
2023-12-10 12:00:00,557972.0,579649.8888888889,-21677.888888888876,3.885121276495752
2023-12-27 13:00:00,712657.0,686094.675,26562.324999999953,3.72722431688736
2023-12-08 11:00:00,663793.0,686094.675,-22301.675000000047,3.359733380737677
2023-12-04 15:00:00,709849.0,686094.675,23754.324999999953,3.3463912747640627
2023-12-13 16:00:00,663937.0,686094.675,-22157.675000000047,3.3373158899112485
2023-12-08 16:00:00,665789.0,686094.675,-20305.675000000047,3.0498663991144412
2023-12-28 13:00:00,705800.0,686094.675,19705.324999999953,2.7919134315670098
2023-12-04 12:00:00,667849.0,686094.675,-18245.675000000047,2.732006037292868
2023-12-09 14:00:00,589518.0,579649.8888888889,9868.111111111124,1.6739287199222286
2023-12-07 16:00:00,675164.0,686094.675,-10930.675000000047,1.618965910504714
2023-12-10 14:00:00,571292.0,579649.8888888889,-8357.888888888876,1.4629802078252236
2023-12-29 13:00:00,695230.0,686094.675,9135.324999999953,1.314000402744409
2023-12-06 11:00:00,677810.0,686094.675,-8284.675000000047,1.2222709903955453
2023-12-07 10:00:00,693711.0,686094.675,7616.324999999953,1.0979103690153325
2023-12-05 10:00:00,692679.0,686094.675,6584.324999999953,0.9505593500019424
2023-12-03 13:00:00,574853.0,579649.8888888889,-4796.888888888876,0.834454876096824
2023-12-03 14:00:00,575643.0,579649.8888888889,-4006.888888888876,0.6960718516318058
2023-12-04 11:00:00,690062.0,686094.675,3967.3249999999534,0.5749229779353092
2023-12-06 12:00:00,682423.0,686094.675,-3671.6750000000466,0.5380350603657917
2023-12-04 14:00:00,686787.0,686094.675,692.3249999999534,0.10080636354502245
2023-12-09 13:00:00,579083.0,579649.8888888889,-566.888888888876,0.09789423776710351
2023-12-08 10:00:00,685903.0,686094.675,-191.67500000004657,0.027944913493605738
