시간,예측값,실제값,MAPE 오차
0:00,655544.375,653832.0,12.545985727772461
1:00,655544.375,607032.0,12.545985727772461
2:00,655544.375,571442.0,12.545985727772461
3:00,655544.375,548554.0,12.545985727772461
4:00,655544.375,532097.0,12.545985727772461
5:00,655544.375,529805.0,12.545985727772461
6:00,655544.375,538791.0,12.545985727772461
7:00,655544.375,567784.0,12.545985727772461
8:00,655544.375,609286.0,12.545985727772461
9:00,655544.375,663176.0,12.545985727772461
10:00,655544.375,693902.0,12.545985727772461
11:00,655544.375,739470.0,12.545985727772461
12:00,655544.375,746839.0,12.545985727772461
13:00,655544.375,748686.0,12.545985727772461
14:00,655544.375,763809.0,12.545985727772461
15:00,655544.375,758498.0,12.545985727772461
16:00,655544.375,751261.0,12.545985727772461
17:00,655544.375,738810.0,12.545985727772461
18:00,655544.375,761001.0,12.545985727772461
19:00,655544.375,765975.0,12.545985727772461
20:00,655544.375,772213.0,12.545985727772461
21:00,655544.375,761496.0,12.545985727772461
22:00,655544.375,726211.0,12.545985727772461
23:00,655544.375,693681.0,12.545985727772461
