¿œΩ√,Power Demand,Predicted,MAPE
2023-01-23 13:00:00,531514.0,666352.0,25.368663854573914
2023-01-14 19:00:00,805534.0,666352.0,17.278227858786842
2023-01-14 20:00:00,802912.0,666352.0,17.008090550396556
2023-01-14 18:00:00,789069.0,666352.0,15.552125352789172
2023-01-01 14:00:00,591142.0,666352.0,12.722831400915515
2023-01-07 13:00:00,594130.0,666352.0,12.155925470856547
2023-01-07 14:00:00,594156.0,666352.0,12.151017577875171
2023-01-23 15:00:00,598202.0,666352.0,11.39247277675434
2023-01-05 11:00:00,769511.0,855800.8571428572,11.213596315433719
2023-01-07 15:00:00,606120.0,666352.0,9.937306143997889
2023-01-14 17:00:00,734724.0,666352.0,9.305807350787507
2023-01-01 13:00:00,612025.0,666352.0,8.876598178178996
2023-01-01 15:00:00,614664.0,666352.0,8.409147111267295
2023-01-05 17:00:00,791514.0,855800.8571428572,8.122011378555168
2023-01-14 10:00:00,708554.0,666352.0,5.956073919560119
2023-01-05 10:00:00,807942.0,855800.8571428572,5.923551089416958
2023-01-11 20:00:00,902980.0,855800.8571428572,5.22482700138905
2023-01-14 16:00:00,702372.0,666352.0,5.128336551001464
2023-01-06 19:00:00,900856.0,855800.8571428572,5.001370125429907
2023-01-06 20:00:00,900072.0,855800.8571428572,4.9186223832252125
2023-01-06 12:00:00,815994.0,855800.8571428572,4.878327186579455
2023-01-14 09:00:00,696304.0,666352.0,4.30156942944461
2023-01-11 21:00:00,893122.0,855800.8571428572,4.178728422000896
2023-01-10 20:00:00,891977.0,855800.8571428572,4.055725972434585
2023-01-07 16:00:00,643034.0,666352.0,3.6262468236516265
2023-01-10 19:00:00,886620.0,855800.8571428572,3.4760261281205977
2023-01-10 18:00:00,828217.0,855800.8571428572,3.330510861628916
2023-01-08 10:00:00,645292.0,666352.0,3.263638786781798
2023-01-06 18:00:00,877611.0,855800.8571428572,2.4851720018485226
2023-01-14 15:00:00,683090.0,666352.0,2.4503359732978085
2023-01-14 11:00:00,683051.0,666352.0,2.4447662034020885
2023-01-01 12:00:00,650551.0,666352.0,2.428864147468838
2023-01-14 12:00:00,682484.0,666352.0,2.3637184168420067
2023-01-14 14:00:00,681501.0,666352.0,2.2228874205613787
2023-01-14 13:00:00,675671.0,666352.0,1.379221544213086
2023-01-09 18:00:00,858718.0,855800.8571428572,0.33970906131498824
2023-01-06 22:00:00,856078.0,855800.8571428572,0.03237355207619405
