날짜,발전수요량,기온(°C)
2023-01-01,746368.7083333334,8.0
2023-01-02,812135.9166666666,5.341666666666666
2023-01-03,833104.9166666666,5.9750000000000005
2023-01-04,812264.5,6.454166666666667
2023-01-05,812598.75,7.945833333333333
2023-01-06,816983.6666666666,8.950000000000001
2023-01-07,758884.9583333334,8.891666666666667
2023-01-08,738398.3333333334,8.604166666666666
2023-01-09,780206.8333333334,10.108333333333333
2023-01-10,778342.2916666666,8.8375
2023-01-11,758677.6666666666,10.908333333333333
2023-01-12,767323.1666666666,12.375
2023-01-13,718780.6666666666,17.470833333333335
2023-01-14,699734.375,11.404166666666667
2023-01-15,793455.125,6.208333333333333
2023-01-16,868755.2083333334,3.4416666666666664
2023-01-17,895725.875,4.120833333333334
2023-01-18,861507.875,5.958333333333333
2023-01-19,847475.7083333334,7.120833333333334
2023-01-20,837967.6666666666,6.491666666666667
2023-01-21,827547.75,2.8874999999999997
2023-01-22,771878.2916666666,6.491666666666667
2023-01-23,719452.375,8.166666666666666
2023-01-24,894579.5,-0.7208333333333333
2023-01-25,900601.9166666666,-0.975
2023-01-26,856794.125,5.425
2023-01-27,934794.6666666666,2.7291666666666665
2023-01-28,889212.0416666666,2.0166666666666666
2023-01-29,839224.0416666666,6.404166666666666
2023-01-30,832007.75,6.7124999999999995
2023-01-31,816529.0416666666,7.008333333333333
2023-02-01,773973.8333333334,9.045833333333333
2023-02-02,813552.7083333334,5.158333333333333
2023-02-03,825084.625,4.766666666666667
2023-02-04,781844.7916666666,6.033333333333334
2023-02-05,759122.6666666666,5.954166666666667
2023-02-06,846115.2083333334,7.891666666666667
2023-02-07,766988.375,10.333333333333334
2023-02-08,763873.9583333334,8.525
2023-02-09,802224.2916666666,9.516666666666667
2023-02-10,776936.0,8.629166666666666
2023-02-11,773974.0416666666,8.983333333333333
2023-02-12,751313.25,10.9
2023-02-13,804329.1666666666,9.329166666666667
2023-02-14,782904.0833333334,6.675
2023-02-15,837080.5,5.2250000000000005
2023-02-16,825305.875,6.908333333333334
2023-02-17,822215.5416666666,9.0875
2023-02-18,723178.375,13.329166666666666
2023-02-19,733983.2916666666,8.674999999999999
2023-02-20,801520.1666666666,6.016666666666667
2023-02-21,832892.7083333334,3.5708333333333333
2023-02-22,819525.8333333334,6.970833333333334
2023-02-23,793829.9166666666,7.3999999999999995
2023-02-24,774425.25,8.620833333333334
2023-02-25,786509.9166666666,5.0
2023-02-26,750554.625,5.841666666666666
2023-02-27,774590.9583333334,7.6625000000000005
2023-02-28,731161.6666666666,10.858333333333334
2023-03-01,735018.375,11.445833333333333
2023-03-02,777355.0,6.891666666666667
2023-03-03,772249.125,7.229166666666667
2023-03-04,714284.8333333334,9.804166666666667
2023-03-05,704479.0833333334,10.895833333333334
2023-03-06,720540.0,12.158333333333333
2023-03-07,698224.7916666666,14.466666666666667
2023-03-08,686460.4583333334,14.445833333333333
2023-03-09,669274.8333333334,14.887500000000001
2023-03-10,677948.125,12.995833333333332
2023-03-11,646999.6666666666,13.975
2023-03-12,694146.0416666666,11.7875
2023-03-13,737232.125,6.691666666666666
2023-03-14,715709.5416666666,10.195833333333333
2023-03-15,676244.6666666666,14.691666666666668
2023-03-16,681617.125,11.245833333333332
2023-03-17,753920.625,11.3375
2023-03-18,660031.0,11.579166666666666
2023-03-19,662111.0,10.112499999999999
2023-03-20,717939.125,11.924999999999999
2023-03-21,703789.9583333334,14.887500000000001
2023-03-22,690585.9583333334,17.5625
2023-03-23,673767.1666666666,14.3375
2023-03-24,720939.1666666666,11.458333333333334
2023-03-25,699311.0416666666,12.833333333333334
2023-03-26,648563.2916666666,12.229166666666666
2023-03-27,693305.0,10.695833333333333
2023-03-28,696642.1666666666,11.891666666666666
2023-03-29,679487.75,13.258333333333333
2023-03-30,698347.1666666666,14.241666666666667
2023-03-31,654412.2083333334,16.408333333333335
2023-04-01,636960.5416666666,16.195833333333333
2023-04-02,613054.3333333334,16.258333333333333
2023-04-03,638212.875,16.116666666666667
2023-04-04,669162.0833333334,17.954166666666666
2023-04-05,706453.5,16.633333333333333
2023-04-06,710107.2916666666,12.075000000000001
2023-04-07,685982.7083333334,11.4375
2023-04-08,669239.8333333334,11.237499999999999
2023-04-09,655652.7083333334,13.133333333333333
2023-04-10,664450.75,13.75
2023-04-11,653168.9166666666,18.391666666666666
2023-04-12,648920.125,14.945833333333333
2023-04-13,663134.375,14.945833333333333
2023-04-14,711397.2916666666,15.4
2023-04-15,644538.9583333334,14.754166666666668
2023-04-16,629748.7083333334,14.095833333333333
2023-04-17,647009.6666666666,15.4125
2023-04-18,642165.875,23.016666666666666
2023-04-19,647638.6666666666,19.25
2023-04-20,628542.1666666666,18.420833333333334
2023-04-21,624526.7916666666,17.004166666666666
2023-04-22,604527.7083333334,15.9375
2023-04-23,611162.9166666666,15.158333333333333
2023-04-24,696502.4166666666,14.083333333333334
2023-04-25,720424.9583333334,12.6875
